id,câu_hỏi_người_dùng,intent_dinh_dưỡng,tình_trạng_sức_khỏe,mục_tiêu,bữa_sáng,bữa_trưa,bữa_tối,bữa_phụ,tổng_calo,ghi_chú
431,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,béo phì,tăng cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,1423,Tránh ăn sau 21h.
432,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,tiểu đường,tăng cơ,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Hạt hạnh nhân,1707,Uống 2L nước/ngày.
433,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,cao huyết áp,tăng cân,Trứng luộc + rau xanh,Ức gà nướng + salad,Cơm + tôm hấp,Chuối chín,1772,Tránh ăn sau 21h.
434,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,cao huyết áp,duy trì sức khỏe,Trứng luộc + rau xanh,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1740,Kết hợp tập thể dục 30 phút/ngày.
435,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,bình thường,tăng cơ,Bánh mì trứng,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa whey,2188,Uống 2L nước/ngày.
436,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,béo phì,ăn lành mạnh,Yến mạch sữa chua,Ức gà nướng + salad,Cá hồi + khoai lang,Hạt hạnh nhân,2067,Uống 2L nước/ngày.
437,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,béo phì,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Cá hồi + khoai lang,Sữa chua không đường,1869,Không dùng đồ ngọt.
438,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,tiểu đường,ăn lành mạnh,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,2189,Uống 2L nước/ngày.
439,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,gầy yếu,ăn lành mạnh,Yến mạch sữa chua,Ức gà nướng + salad,Cơm + tôm hấp,Chuối chín,1495,Uống 2L nước/ngày.
440,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,bình thường,tăng cân,Cháo yến mạch,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Chuối chín,1863,Không dùng đồ ngọt.
441,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,bình thường,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Chuối chín,1580,Kết hợp tập thể dục 30 phút/ngày.
442,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,cao huyết áp,tăng cơ,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Chuối chín,1708,Uống 2L nước/ngày.
443,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,bình thường,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Táo xanh,2064,Tránh ăn sau 21h.
444,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,tiểu đường,giảm cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Chuối chín,1703,Kết hợp tập thể dục 30 phút/ngày.
445,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,tiểu đường,ăn lành mạnh,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Hạt hạnh nhân,1685,Tránh ăn sau 21h.
446,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,bình thường,giảm cân,Cháo yến mạch,Cơm + thịt bò xào,Cơm + tôm hấp,Sữa chua không đường,1561,Tránh ăn sau 21h.
447,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,tiểu đường,ăn lành mạnh,Trứng luộc + rau xanh,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,2282,Uống 2L nước/ngày.
448,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,gầy yếu,duy trì sức khỏe,Bánh mì trứng,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1713,Tránh ăn sau 21h.
449,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,béo phì,tăng cơ,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Táo xanh,1434,Kết hợp tập thể dục 30 phút/ngày.
450,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,bình thường,giảm cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Chuối chín,1726,Tránh ăn sau 21h.
451,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,bình thường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa chua không đường,1966,Không dùng đồ ngọt.
452,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,cao huyết áp,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Hạt hạnh nhân,1938,Ngủ đủ 7 tiếng.
453,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,béo phì,duy trì sức khỏe,Cháo yến mạch,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1938,Kết hợp tập thể dục 30 phút/ngày.
454,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,bình thường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + thịt bò xào,Ức gà + rau củ hấp,Chuối chín,2256,Uống 2L nước/ngày.
455,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,ăn lành mạnh,Cháo yến mạch,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa chua không đường,1361,Không dùng đồ ngọt.
456,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,béo phì,ăn lành mạnh,Cháo yến mạch,Ức gà nướng + salad,Salad rau củ + trứng,Sữa chua không đường,1566,Tránh ăn sau 21h.
457,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,cao huyết áp,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Hạt hạnh nhân,2075,Uống 2L nước/ngày.
458,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,gầy yếu,giảm cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1348,Không dùng đồ ngọt.
459,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,cao huyết áp,tăng cơ,Cháo yến mạch,Ức gà nướng + salad,Cơm + tôm hấp,Chuối chín,1658,Không dùng đồ ngọt.
460,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,bình thường,giảm cân,Bánh mì trứng,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Sữa chua không đường,1844,Không dùng đồ ngọt.
461,Người gầy yếu nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,gầy yếu,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,1561,Ngủ đủ 7 tiếng.
462,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,cao huyết áp,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1740,Uống 2L nước/ngày.
463,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,bình thường,tăng cơ,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,1310,Uống 2L nước/ngày.
464,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,tiểu đường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Chuối chín,1706,Ngủ đủ 7 tiếng.
465,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,cao huyết áp,ăn lành mạnh,Cháo yến mạch,Cơm + thịt bò xào,Salad rau củ + trứng,Sữa whey,1981,Kết hợp tập thể dục 30 phút/ngày.
466,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,duy trì sức khỏe,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Táo xanh,1704,Không dùng đồ ngọt.
467,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,duy trì sức khỏe,Yến mạch sữa chua,Ức gà nướng + salad,Cơm + tôm hấp,Hạt hạnh nhân,1262,Tránh ăn sau 21h.
468,Người béo phì nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,béo phì,tăng cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa chua không đường,2166,Không dùng đồ ngọt.
469,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,béo phì,ăn lành mạnh,Cháo yến mạch,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1597,Uống 2L nước/ngày.
470,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,bình thường,tăng cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Chuối chín,1831,Kết hợp tập thể dục 30 phút/ngày.
471,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,tiểu đường,giảm cân,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Táo xanh,1279,Ngủ đủ 7 tiếng.
472,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm + thịt bò xào,Cá hồi + khoai lang,Chuối chín,1742,Ngủ đủ 7 tiếng.
473,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,béo phì,ăn lành mạnh,Cháo yến mạch,Ức gà nướng + salad,Salad rau củ + trứng,Chuối chín,1208,Ngủ đủ 7 tiếng.
474,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,cao huyết áp,tăng cân,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Hạt hạnh nhân,1677,Uống 2L nước/ngày.
475,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,2094,Tránh ăn sau 21h.
476,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,bình thường,tăng cân,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Táo xanh,1891,Không dùng đồ ngọt.
477,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,gầy yếu,ăn lành mạnh,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,1686,Tránh ăn sau 21h.
478,Người bình thường nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,bình thường,tăng cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Táo xanh,2146,Không dùng đồ ngọt.
479,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,bình thường,tăng cơ,Bánh mì trứng,Cơm + thịt bò xào,Ức gà + rau củ hấp,Chuối chín,1893,Kết hợp tập thể dục 30 phút/ngày.
480,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,ăn lành mạnh,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa chua không đường,1254,Ngủ đủ 7 tiếng.
481,Người tiểu đường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Ức gà nướng + salad,Ức gà + rau củ hấp,Táo xanh,2065,Tránh ăn sau 21h.
482,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,tăng cơ,Yến mạch sữa chua,Cơm + thịt bò xào,Cơm + tôm hấp,Sữa whey,2105,Ngủ đủ 7 tiếng.
483,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,bình thường,tăng cân,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,2298,Tránh ăn sau 21h.
484,Người gầy yếu nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,gầy yếu,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Ức gà + rau củ hấp,Sữa whey,2032,Không dùng đồ ngọt.
485,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,cao huyết áp,duy trì sức khỏe,Cháo yến mạch,Cơm + thịt bò xào,Cơm + tôm hấp,Chuối chín,1415,Uống 2L nước/ngày.
486,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,gầy yếu,giảm cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cá hồi + khoai lang,Chuối chín,2146,Ngủ đủ 7 tiếng.
487,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,gầy yếu,tăng cân,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa chua không đường,2199,Tránh ăn sau 21h.
488,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,bình thường,giảm cân,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Chuối chín,1211,Ngủ đủ 7 tiếng.
489,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Táo xanh,2003,Ngủ đủ 7 tiếng.
490,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,cao huyết áp,tăng cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Táo xanh,2296,Tránh ăn sau 21h.
491,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa whey,1236,Không dùng đồ ngọt.
492,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,cao huyết áp,tăng cân,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1293,Kết hợp tập thể dục 30 phút/ngày.
493,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,cao huyết áp,duy trì sức khỏe,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa chua không đường,2088,Không dùng đồ ngọt.
494,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Táo xanh,1838,Kết hợp tập thể dục 30 phút/ngày.
495,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,tiểu đường,tăng cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cá hồi + khoai lang,Hạt hạnh nhân,2062,Tránh ăn sau 21h.
496,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,béo phì,tăng cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,1741,Ngủ đủ 7 tiếng.
497,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,bình thường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cá hồi + khoai lang,Táo xanh,1209,Không dùng đồ ngọt.
498,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,gầy yếu,tăng cơ,Yến mạch sữa chua,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1209,Ngủ đủ 7 tiếng.
499,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,cao huyết áp,tăng cân,Bánh mì trứng,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Táo xanh,1245,Không dùng đồ ngọt.
500,Người tiểu đường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,tiểu đường,ăn lành mạnh,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Hạt hạnh nhân,1402,Tránh ăn sau 21h.
