Bữa sáng,Bữa phụ,Bữa trưa,Bữa tối,Chế độ ăn,Táo bón,Béo phì,Tim mạch,Mỡ trong máu,Huyết áp,Thiếu máu,Thiếu kẽm,Thiếu canxi,Suy dinh dưỡng,Tiểu đường,Tình trạng sức khỏe,Mục tiêu
Bánh chuối nướng ngũ cốc,Dưa gang,Cháo sườn; Rau luộc; Canh chua,Bánh mì chả cá; Canh rau ngót,Không chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối nướng ngũ cốc,Sâm bổ lượng,Mì sợi trứng xào chay; Súp gà nấm đông cô; Canh bí đỏ,Tảo xoắn chiên giòn (món chay); Canh rau ngót,chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,kiwi,Hủ tiếu Nam Vang; Đậu phụ sốt; Rau muống xào tỏi,Đậu hũ sốt cà chua; Rau muống xào tỏi,Không chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Bánh chuối nướng ngũ cốc,Bánh trứng khoai lang,Cháo Đậu Xanh Ăn Với Đậu Tẩm Hành Chay; Chả cốm chay; Cải thìa sốt nấm đông cô và sườn gà chay,Khô cá lóc chay; Cải thìa xào; Sườn chay dồn thịt chiên,chay,1,0,0,0,0,0,0,0,0,0,Táo bón,"Tăng chất xơ, uống đủ nước"
Bắp luộc,Bánh trứng khoai lang ,Bánh cam đường; Ức gà áp chảo; Rau muống xào tỏi,Bánh pancake mật ong; Cá hấp; Rau muống xào tỏi,Không chay,0,0,1,0,0,0,0,0,1,1,"Tim mạch, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Vú sữa lò rèn,Cơm nắm muối mè; Tôm nướng; Rau củ luộc,Cơm ba chỉ kho tàu; Rau muống xào tỏi; Đậu phụ hấp,Không chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Sữa chua Hy Lạp + dâu,Vú sữa lò rèn,Cơm gà Hội An; Cải thìa xào; Canh bí đỏ,Hủ tiếu Nam Vang; Cá hấp; Cải thìa xào,Không chay,1,0,0,0,0,0,0,1,1,0,"Táo bón, Suy dinh dưỡng, Thiếu canxi","Tăng chất xơ, uống đủ nước, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bánh chuối nướng ngũ cốc,Chè đậu xanh,Bánh cuốn nhân thịt; Cải thìa xào; Canh bí đỏ,Cơm gà Hội An; Salad trộn ít dầu,Không chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + cacao chuối,Vú sữa lò rèn,Xôi gấc; Đậu phụ sốt; Salad trộn ít dầu,Miến măng vịt; Trứng luộc; Cải thìa xào,Không chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Hạt hạnh nhân,Miến gà; Salad trộn ít dầu; Canh cá nấu rau,Canh kim chi Hàn Quốc; Trứng luộc,Không chay,0,0,1,0,1,1,1,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc ,Dưa gang,Bánh mì trứng ốp la; Rau củ luộc; Canh cá nấu rau,Canh đậu hũ non hải sản; Ức gà áp chảo,Không chay,0,1,1,0,0,1,0,1,0,1,"Béo phì, Tim mạch, Thiếu máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc ,Chuối chiên,Canh cua mồng tơi; Khoai lang; Ức gà áp chảo,Canh bí đỏ hầm xương; Trứng luộc,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Yến mạch + cacao chuối,Vú sữa lò rèn,Cơm sườn nướng mật ong; Canh rau ngót; Canh cá nấu rau,Sandwich cá ngừ; Canh rau ngót,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Sữa chua thực vật,Miến nấm rau răm (Miến lươn chay); Tảo xoắn chiên giòn (món chay); Rau luộc,Rau muống xào tỏi; Đậu phụ hấp,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Bánh chuối nướng ngũ cốc,Chuối chiên,Hủ tiếu Mỹ Tho; Đậu phụ sốt; Salad trộn ít dầu,Sườn non rim nước dừa; Rau luộc,Không chay,0,1,1,0,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sinh tố bơ ,Dưa gang,Chân giò hầm hạt sen; Miến; Tôm nướng,Canh bí đỏ hầm xương; Ức gà áp chảo,Không chay,1,0,1,0,0,0,0,0,0,1,"Táo bón, Tim mạch, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua thực vật + trái cây,Dưa gang,Súp Măng Tây Trắng Nấm Tuyết Chay; Khổ qua kho chay; Rau muống xào tỏi,Cơm Chiên Bí Đỏ Chay; Sườn chay chiên giòn,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Trứng chần trên bánh mì nướng bơ,Hạt hạnh nhân,Hủ tiếu Nam Vang; Ức gà áp chảo; Canh rau ngót,Bánh bông lan trứng muối; Cải thìa xào; Cơm trắng ít,Không chay,0,1,1,0,0,1,1,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Thiếu kẽm, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc + sữa hạt, Bánh chuối cacao hấp nướng,Cháo sườn; Canh rau ngót; Canh cá nấu rau,Bún mắm miền Tây; Cá hấp; Rau muống xào tỏi,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối nướng ngũ cốc,Sữa chua thực vật,Tảo xoắn chiên giòn (món chay); Rau luộc; Canh bí đỏ,Mít kho tộ rau răm chay; Rau muống xào tỏi,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Yogurt chuối và nho kho + chuối, Bánh chuối cacao hấp nướng,Cháo gà; Canh rau ngót; Canh mồng tơi,Cơm sườn nướng mật ong; Cải thìa xào,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Nước ép táo + bánh crepe chuối,Dưa gang,Bánh tiêu nhân đậu xanh; Canh rau ngót; Canh cá nấu rau,Canh bí đỏ hầm xương; Trứng luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bún xào rau củ,Bánh trứng khoai lang,Hoành thánh chay chiên; Nấm Rơm Kho Tiêu Xanh Chay; Cải Xoong hấp/luộc Cà Chua (Vegan),Canh bí đỏ hầm xương; Đậu phụ sốt,chay,0,1,0,0,1,1,0,0,0,0,"Béo phì, Huyết áp, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Bổ sung sắt, tăng cường máu"
Sữa ngũ cốc , Bánh chuối cacao hấp nướng,Cơm nắm muối mè; Đậu phụ sốt; Canh rau ngót,Cơm tấm sườn bì chả; Rau củ luộc,Không chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Sữa ngũ cốc ,Chè đậu xanh,Súp gà nấm đông cô; Phở; Rau luộc,Đậu bắp luộc chấm mắm ruốc; Rau luộc,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối nướng ngũ cốc,Sữa chua Hy Lạp,Xôi bắp; Cá hấp; Rau luộc,Bánh cuốn nhân thịt; Rau củ luộc; Bánh mì nhỏ,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Bánh trứng khoai lang ,Bánh mì chả cá; Canh rau ngót; Canh mồng tơi,Cơm niêu cá kho tộ; Canh rau ngót,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bún xào rau củ,Bánh trứng khoai lang,Xào chay thập cẩm với nấm bào ngư; Salad Kiều Mạch Chay; Đậu phụ sốt,Đậu Hủ & Nấm Mỡ Kho Tương Chay (Vegan); Cải thìa xào; Khoai Tây Chiên Kho Cà Chua Chay,chay,0,1,0,0,1,0,0,0,0,0,"Béo phì, Huyết áp","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp"
Nước ép táo + bánh crepe chuối,Chuối chiên,Lẩu ếch măng chua; Phở; Tôm nướng,Bánh bông lan trứng muối; Canh rau ngót,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối nướng ngũ cốc, Bánh chuối cacao hấp nướng,Cơm gà Hải Nam; Rau củ luộc; Canh bí đỏ,Bánh thấp/luộcg cuốn thịt heo; Ức gà áp chảo,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bún xào rau củ,Bánh trứng khoai lang,Bún chay trộn khô với sốt cà chua (thay nước tương/nước mắm); Mì lá tươi cuộn chay; Đậu phụ hấp,Salad Kiều Mạch Chay; Rau luộc; Canh Rong Mứt Chay,chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + bơ,Bánh lá nước cốt dừa,Cá lóc hấp bầu; Khoai lang; Rau muống xào tỏi,Lẩu mắm miền Tây; Cá hấp; Rau muống xào tỏi,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Yogurt chuối và nho kho + chuối,Dưa gang,Thịt ba chỉ luộc chấm mắm tép; Miến; Canh cá nấu rau,Cơm rang dưa bò; Salad trộn ít dầu,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yogurt chuối và nho kho,Dưa gang,Canh Súp Mandu Rong Biển Đậu Hủ Chay; Bánh xèo nấm chay; Đậu hũ chiên,Miến măng chay; Mì Chũ hấp/luộc Rau Củ Chay (Vegan); Canh chua chay nấm rơm,chay,0,0,0,0,1,0,0,1,0,0,"Huyết áp, Thiếu canxi","Giảm muối, ổn định huyết áp, Bổ sung canxi và vitamin D"
Bánh mì đen + trứng ốp la,Chè vải hạt sen,Canh bí đỏ hầm xương; Bánh mì; Tôm nướng,Bánh cuốn nhân thịt; Canh rau ngót; Cơm trắng ít,Không chay,1,0,0,0,0,1,0,0,0,0,"Táo bón, Thiếu máu","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu"
Bơ nướng trứng,Chuối chiên,Bánh chuối chiên; Ức gà áp chảo; Salad trộn ít dầu,Bánh khọt Vũng Tàu; Cá hấp; Rau muống xào tỏi,Không chay,0,0,1,0,1,1,0,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sinh tố bơ ,Chè đậu xanh,Cơm gà Hội An; Rau luộc; Canh chua,Bánh mì pate; Rau củ luộc; Cá hấp,Không chay,0,0,1,0,0,0,0,0,1,1,"Tim mạch, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc ,Sữa chua Hy Lạp,Bún mắm miền Tây; Đậu phụ sốt; Rau luộc,Xôi gấc; Salad trộn ít dầu; Tôm nướng,Không chay,0,0,1,0,0,0,0,1,0,1,"Tim mạch, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Bánh trứng khoai lang ,Bánh pancake mật ong; Đậu phụ sốt; Cải thìa xào,Bánh bèo Huế; Ức gà áp chảo; Salad trộn ít dầu,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối nướng ngũ cốc,Dưa gang,Đậu bắp luộc chấm mắm ruốc; Phở; Canh cá nấu rau,Bánh mì thịt nguội; Rau luộc,Không chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + bơ,Chuối,Bánh ướt chả lụa; Ức gà áp chảo; Cải thìa xào,Canh gà lá giang; Cải thìa xào,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bắp luộc,kiwi,Hủ tiếu Nam Vang; Trứng luộc; Cải thìa xào,Gỏi cuốn tôm thịt; Bò xào nhẹ,Không chay,1,0,0,0,0,0,0,0,1,0,"Táo bón, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Tăng cân, bổ sung năng lượng và đạm"
Sinh tố bơ ,Chuối chiên,Nghêu hấp sả; Cơm trắng; Tôm nướng,Bánh mì pate; Rau củ luộc; Đậu phụ hấp,Không chay,1,0,0,0,0,1,0,0,0,0,"Táo bón, Thiếu máu","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu"
Bắp luộc,Hạt hạnh nhân,Canh cà chua trứng; Cơm trắng; Kim chi ít cay,Bánh bông lan trứng muối; Canh rau ngót; Bánh mì nhỏ,Không chay,0,1,1,0,0,1,1,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Thiếu kẽm, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + cacao chuối,Sữa chua Hy Lạp ,Mực xào sa tếCá basa sốt cà chua; Miến; Canh cá nấu rau,Lòng non xào dưa chua; Đậu phụ hấp,Không chay,0,0,1,1,1,0,0,1,1,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối bơ lạc,kiwi,Bánh ướt chả lụa; Đậu phụ sốt; Cải thìa xào,Xôi mặn; Rau củ luộc; Trứng luộc,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Sữa chua thực vật + trái cây,Sâm bổ lượng,Canh Súp Mandu Rong Biển Đậu Hủ Chay; Cốt lết chay kho tiêu; Sườn non chay chiên ngũ vị,Giò heo cuộn chiên giòn (món chay); Món chay dễ làm| Soup khoai tây bó xôi; Bông Bí Xào Tỏi Chay,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Bắp luộc,Vú sữa lò rèn,Lẩu cá kèo lá giang; Bún; Canh rau ngót,Lẩu tôm chua cay; Salad trộn ít dầu,Không chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
